,name,artist,album,release,genre,flac,likes
0,Dynamite,방탄소년단,Dynamite (DayTime Version),2020.08.24,댄스,Flac 16bit,"351,899"
1,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,2020.10.19,발라드,Flac 16/24bit,"72,580"
2,Life Goes On,방탄소년단,BE,2020.11.20,랩/힙합,Flac 16bit,"117,337"
3,잠이 오질 않네요,장범준,잠이 오질 않네요,2020.10.24,발라드,Flac 16/24bit,"69,478"
4,Lovesick Girls,BLACKPINK,THE ALBUM,2020.10.02,댄스,Flac 16bit,"144,589"
5,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),2020.07.20,발라드,Flac 16/24bit,"152,877"
6,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME,2020.10.10,댄스,Flac 16/24bit,"156,333"
7,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],2020.10.02,POP,Flac 16bit,"121,202"
8,오래된 노래,스탠딩 에그,오래된 노래,2012.09.04,"인디음악, 포크/블루스",Flac 16bit,"196,652"
9,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga),2020.10.20,댄스,Flac 16bit,"45,270"
10,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),2020.08.23,발라드,Flac 16/24bit,"77,518"
11,When We Disco (Duet with 선미),박진영,When We Disco,2020.08.12,댄스,Flac 16bit,"65,422"
12,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이,쇼미더머니 9 Episode 1,2020.11.21,랩/힙합,Flac 16/24bit,"21,487"
13,뻔한남자,이승기,뻔한남자,2020.11.15,발라드,Flac 16bit,"24,951"
14,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해,2019.09.25,발라드,Flac 16bit,"321,590"
15,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open,2020.10.26,댄스,Flac 16bit,"41,850"
16,내 방을 여행하는 법,방탄소년단,BE,2020.11.20,R&B/Soul,Flac 16bit,"74,113"
17,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,2019.08.23,"록/메탈, 국내드라마",Flac 16bit,"268,798"
18,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),2020.11.14,발라드,Flac 16/24bit,"21,955"
19,가을밤에 든 생각,잔나비,잔나비 소곡집 l,2020.11.06,"인디음악, 록/메탈",Flac 16/24bit,"45,242"
20,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,2020.05.06,록/메탈,Flac 16/24bit,"328,946"
21,How You Like That,BLACKPINK,How You Like That,2020.06.26,댄스,Flac 16bit,"162,660"
22,눈누난나 (NUNU NANA),제시 (Jessi),NUNA,2020.07.30,랩/힙합,Flac 16/24bit,"94,570"
23,Blue & Grey,방탄소년단,BE,2020.11.20,발라드,Flac 16bit,"73,791"
24,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,2020.03.05,"랩/힙합, 인디음악",Flac 16bit,"130,572"
25,마리아 (Maria),화사 (Hwa Sa),María,2020.06.29,댄스,Flac 16/24bit,"152,316"
26,Freak (Prod. Slom),릴보이 (lIlBOI),쇼미더머니 9 Episode 1,2020.11.21,랩/힙합,Flac 16/24bit,"13,358"
27,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,2020.04.27,댄스,Flac 16bit,"157,811"
28,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,2019.11.07,발라드,Flac 16/24bit,"166,978"
29,아로하,조정석,슬기로운 의사생활 OST Part 3,2020.03.27,"발라드, 국내드라마",Flac 16/24bit,"204,620"
30,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,2019.04.12,댄스,Flac 16bit,"404,311"
31,METEOR,창모 (CHANGMO),Boyhood,2019.11.29,랩/힙합,Flac 16bit,
32,Blueming,아이유,Love poem,2019.11.18,록/메탈,Flac 16/24bit,"275,015"
33,잠시,방탄소년단,BE,2020.11.20,랩/힙합,Flac 16bit,"69,146"
34,놓아줘 (with 태연),Crush,with HER,2020.10.20,R&B/Soul,Flac 16/24bit,"44,140"
35,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,2020.07.14,발라드,Flac 16/24bit,"47,068"
36,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),스윙스,쇼미더머니 9 Episode 1,2020.11.21,랩/힙합,Flac 16/24bit,"10,057"
37,서면역에서,순순희,서면역에서,2020.05.05,"발라드, 인디음악",Flac 16/24bit,"30,904"
38,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3,2018.03.20,"발라드, 국내드라마",Flac 16bit,"351,231"
39,Dance Monkey,Tones And I,The Kids Are Coming,2019.08.09,POP,Flac 16bit,"141,758"
40,홀로,이하이,홀로,2020.07.23,R&B/Soul,NA,"116,548"
41,Stay,방탄소년단,BE,2020.11.20,댄스,Flac 16bit,"65,830"
42,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),2020.10.23,"발라드, 인디음악",Flac 16/24bit,
43,Downtown Baby,블루 (BLOO),Downtown Baby,2017.12.06,"랩/힙합, 인디음악",Flac 16/24bit,"179,272"
44,Memories,Maroon 5,Memories,2019.09.20,POP,Flac 16bit,"145,836"
45,병,방탄소년단,BE,2020.11.20,랩/힙합,Flac 16bit,"66,217"
46,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,2020.06.07,발라드,Flac 16/24bit,"51,737"
47,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,2019.06.09,"R&B/Soul, 인디음악",Flac 16bit,"220,649"
48,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가,2020.07.18,댄스,Flac 16/24bit,"227,424"
49,봄날,방탄소년단,YOU NEVER WALK ALONE,2017.02.13,랩/힙합,Flac 16bit,"513,381"
50,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,2019.11.20,발라드,Flac 16/24bit,"90,613"
51,HAPPENING,AKMU (악동뮤지션),HAPPENING,2020.11.16,록/메탈,Flac 16bit,"22,328"
52,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,2020.04.27,댄스,Flac 16bit,"161,336"
53,2002,Anne-Marie,Speak Your Mind (Deluxe),2018.08.03,POP,Flac 16bit,
54,Bad Boy,청하,Bad Boy,2020.09.23,POP,Flac 16bit,"47,845"
55,마음을 드려요,아이유,사랑의 불시착 OST Part 11,2020.02.15,"발라드, 국내드라마",Flac 16/24bit,"179,693"
56,사실 나는 (Feat.전건호),경서예지,사실 나는,2020.04.12,발라드,Flac 16/24bit,"31,297"
57,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),"사랑 못해, 남들 쉽게 다 하는 거",2020.10.21,발라드,Flac 16/24bit,"18,840"
58,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,2020.05.22,"발라드, 국내드라마",Flac 16/24bit,"127,530"
59,소확행,임창정,힘든 건 사랑이 아니다,2020.10.19,발라드,Flac 16/24bit,"21,165"
60,너도 아는,폴킴,너도 아는,2020.10.27,발라드,Flac 16bit,
61,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,2020.03.25,발라드,Flac 16/24bit,"98,204"
62,"윈윈 (Feat. 개코, BewhY) (Prod. BewhY)",허성현 (Rose de Penny),쇼미더머니 9 Episode 1,2020.11.21,랩/힙합,Flac 16/24bit,"7,892"
63,AYA,마마무 (Mamamoo),TRAVEL,2020.11.03,댄스,Flac 16bit,"23,901"
64,Don't Start Now,Dua Lipa,Future Nostalgia,2019.11.01,POP,Flac 16bit,"124,805"
65,ON,방탄소년단,MAP OF THE SOUL : 7,2020.02.21,랩/힙합,Flac 16bit,"251,777"
66,안녕,폴킴,호텔 델루나 OST Part.10,2019.08.12,"발라드, 국내드라마",Flac 16/24bit,
67,행복해,송하예,Happy,2020.10.17,발라드,Flac 16/24bit,"17,453"
68,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2020.04.03,성인가요,Flac 16bit,"101,160"
69,별을 담은 시 (Ode To The Stars),마크툽 (MAKTUB),Red Moon : Ode To The Stars,2020.09.05,"R&B/Soul, 인디음악",Flac 16bit,"29,057"
70,축하해 (Prod. By VAN.C),오반,축하해,2020.09.09,"랩/힙합, 인디음악",Flac 16bit,"33,077"
71,덤디덤디 (DUMDi DUMDi),(여자)아이들,덤디덤디 (DUMDi DUMDi),2020.08.03,댄스,Flac 16/24bit,"87,944"
72,아무노래,지코 (ZICO),아무노래,2020.01.13,랩/힙합,Flac 16/24bit,"249,816"
73,Pretty Savage,BLACKPINK,THE ALBUM,2020.10.02,랩/힙합,Flac 16bit,"43,508"
74,너를 만나,폴킴,너를 만나,2018.10.29,발라드,Flac 16bit,"274,065"
75,12:45 (Stripped),Etham,12:45 (Stripped),2018.10.26,POP,Flac 16bit,"95,274"
76,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,2020.02.01,"록/메탈, 국내드라마",Flac 16/24bit,"192,991"
77,Love poem,아이유,Love poem,2019.11.01,록/메탈,Flac 16/24bit,"275,964"
78,도망가,MINO (송민호),TAKE,2020.10.30,랩/힙합,Flac 16bit,"33,914"
79,Maniac,Conan Gray,Maniac,2019.10.25,POP,Flac 16bit,"108,218"
80,Ice Cream (with Selena Gomez),BLACKPINK,Ice Cream (with Selena Gomez),2020.08.28,댄스,Flac 16bit,"70,561"
81,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),2018.10.08,POP,Flac 16bit,"234,091"
82,Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX,2020.07.01,랩/힙합,Flac 16/24bit,"103,344"
83,Not Shy,ITZY (있지),Not Shy,2020.08.17,댄스,Flac 16bit,"56,244"
84,가을 타나 봐,바이브,가을 타나 봐,2018.09.18,발라드,Flac 16/24bit,"150,623"
85,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam),2020.06.29,댄스,Flac 16bit,"81,826"
86,밤새 (취향저격 그녀 X 카더가든),카더가든,밤새 (취향저격 그녀 X 카더가든),2020.09.03,발라드,Flac 16/24bit,"33,124"
87,너의 곁에만 맴돌아,노을,너의 곁에만 맴돌아,2020.10.30,발라드,Flac 16bit,"12,155"
88,취했나봐,황인욱,취했나봐,2020.05.24,발라드,Flac 16/24bit,"40,218"
89,광장동에서,창모 (CHANGMO),광장동에서,2020.11.13,랩/힙합,Flac 16bit,"21,377"
90,그때 그 아인,김필,이태원 클라쓰 OST Part.6,2020.02.15,"발라드, 국내드라마",Flac 16/24bit,"100,432"
91,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2019.03.31,발라드,Flac 16bit,"177,771"
92,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,2020.03.20,"발라드, 국내드라마",Flac 16/24bit,"105,964"
93,첫 줄,신용재 (2F),Dear,2020.07.01,발라드,Flac 16/24bit,"34,532"
94,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,2019.12.23,댄스,Flac 16bit,"206,568"
95,Into the I-LAND,아이유,I-LAND Part.1 Signal Song,2020.06.19,댄스,Flac 16bit,"109,299"
96,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019.03.29,POP,Flac 16bit,"240,182"
97,니 이름 불렀나 봐,V.O.S,니 이름 불렀나 봐,2020.11.08,발라드,Flac 16/24bit,"9,571"
98,Painkiller,Ruel,Painkiller,2019.05.01,POP,Flac 16bit,"114,108"
99,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다,2018.09.19,발라드,Flac 16bit,"162,747"
